Schulnummer;Anzahl;
"112641";"190";
"112653";"230";
"112677";"336";
"112690";"226";
"112720";"263";
"112732";"302";
"112744";"315";
"112768";"309";
"112770";"148";
"112793";"200";
"112800";"290";
"112811";"208";
"112823";"241";
"112847";"308";
"112859";"440";
"112860";"128";
"112872";"200";
"112884";"224";
"112896";"197";
"112902";"285";
"112926";"133";
"112938";"508";
"112951";"173";
"112963";"124";
"112975";"264";
"112987";"207";
"112999";"216";
"113001";"211";
"113025";"279";
"113037";"191";
"113050";"176";
"113062";"167";
"113074";"103";
"113104";"191";
"113116";"213";
"113128";"147";
"113130";"252";
"113141";"152";
"113153";"164";
"113177";"349";
"113189";"193";
"113207";"123";
"113219";"101";
"113220";"118";
"113232";"128";
"113244";"340";
"113293";"271";
"113311";"190";
"113347";"179";
"113372";"253";
"113396";"151";
"113426";"375";
"113438";"192";
"113451";"298";
"113475";"232";
"113505";"200";
"113517";"205";
"113529";"269";
"113542";"94";
"113554";"190";
"113566";"133";
"113578";"326";
"113580";"240";
"113591";"233";
"113610";"204";
"113621";"199";
"113633";"233";
"113645";"349";
"113657";"260";
"113669";"221";
"113670";"202";
"113682";"196";
"113694";"280";
"113736";"265";
"113748";"97";
"113750";"203";
"113761";"226";
"113773";"272";
"113785";"194";
"113797";"275";
"113803";"131";
"113815";"308";
"113827";"283";
"113839";"402";
"113840";"287";
"113852";"467";
"113864";"515";
"113888";"343";
"113890";"351";
"113906";"303";
"113918";"425";
"113920";"108";
"113943";"424";
"113955";"335";
"113967";"284";
"113979";"181";
"113980";"186";
"114005";"301";
"114017";"356";
"114029";"171";
"114030";"185";
"114054";"165";
"114066";"281";
"114078";"192";
"114080";"303";
"114091";"196";
"114108";"306";
"114110";"290";
"114121";"280";
"114145";"210";
"114169";"186";
"114182";"141";
"114194";"182";
"114212";"124";
"114224";"195";
"114236";"235";
"114248";"216";
"114250";"212";
"114261";"178";
"114273";"203";
"114297";"295";
"114303";"107";
"114315";"138";
"114327";"100";
"114340";"173";
"114352";"309";
"114420";"132";
"114431";"148";
"114443";"185";
"114455";"342";
"114480";"284";
"114509";"75";
"114510";"224";
"114522";"197";
"114534";"162";
"114546";"198";
"114558";"199";
"114560";"203";
"114583";"98";
"114595";"126";
"114601";"178";
"114613";"201";
"114625";"195";
"114637";"139";
"114649";"148";
"114650";"283";
"114662";"303";
"114674";"196";
"114704";"246";
"114716";"248";
"114728";"161";
"114730";"195";
"114753";"88";
"114765";"426";
"114777";"192";
"114789";"210";
"114790";"256";
"114807";"275";
"114819";"400";
"114820";"421";
"114832";"236";
"114844";"160";
"114856";"286";
"114868";"494";
"114870";"270";
"114881";"186";
"114893";"351";
"114900";"290";
"114935";"191";
"114960";"197";
"114972";"102";
"114984";"165";
"114996";"185";
"115010";"152";
"115022";"151";
"115034";"239";
"115046";"149";
"115058";"177";
"115060";"223";
"115071";"186";
"115083";"233";
"115095";"224";
"115101";"270";
"115113";"306";
"115125";"306";
"115149";"205";
"115150";"162";
"115162";"124";
"115174";"193";
"115186";"165";
"115198";"285";
"115228";"238";
"115230";"299";
"115241";"320";
"115253";"202";
"115277";"418";
"115290";"383";
"115307";"120";
"115319";"241";
"115320";"163";
"115332";"167";
"115344";"209";
"115356";"292";
"115368";"139";
"115381";"192";
"115393";"173";
"115400";"197";
"115423";"336";
"115435";"212";
"115484";"346";
"115496";"307";
"115514";"258";
"115538";"347";
"115540";"165";
"115551";"296";
"115563";"250";
"115575";"289";
"115587";"269";
"115605";"182";
"115617";"174";
"115629";"387";
"115630";"153";
"115642";"244";
"115654";"243";
"115666";"140";
"115678";"151";
"115680";"432";
"115691";"319";
"115708";"228";
"115710";"191";
"115733";"188";
"115745";"398";
"115757";"330";
"115769";"171";
"115794";"295";
"115800";"280";
"115812";"290";
"115824";"357";
"115836";"260";
"115848";"422";
"115850";"292";
"115897";"107";
"115903";"140";
"115915";"166";
"115939";"184";
"115940";"217";
"115952";"260";
"115964";"184";
"115988";"214";
"115990";"212";
"116002";"294";
"116014";"192";
"116026";"213";
"116038";"243";
"116040";"277";
"116051";"163";
"116075";"254";
"116087";"98";
"116099";"192";
"116105";"338";
"116117";"259";
"116129";"379";
"116166";"193";
"116180";"186";
"116191";"172";
"116208";"226";
"116221";"209";
"116233";"206";
"116245";"183";
"116257";"186";
"116269";"183";
"116270";"191";
"116282";"309";
"116294";"94";
"116312";"207";
"116324";"201";
"116336";"219";
"116348";"158";
"116350";"240";
"116361";"199";
"116385";"157";
"116403";"151";
"116439";"163";
"116440";"194";
